procs,N,nits,error,total_time,time_per_call,mflops
1,1024,10,2.243162e-16,2.391000e-03,1.195500e-04,4.282727e+02
1,2048,10,2.507263e-16,3.530000e-03,1.765000e-04,6.381870e+02
1,4096,10,2.459088e-16,7.802000e-03,3.901000e-04,6.299923e+02
1,8192,10,2.702253e-16,1.699900e-02,8.499500e-04,6.264839e+02
2,1024,10,2.243162e-16,1.280000e-03,6.400000e-05,8.000000e+02
2,2048,10,2.507263e-16,2.272000e-03,1.136000e-04,9.915493e+02
2,4096,10,2.459088e-16,5.163000e-03,2.581500e-04,9.520046e+02
2,8192,10,2.702253e-16,1.057700e-02,5.288500e-04,1.006864e+03
4,1024,10,2.243162e-16,2.073000e-03,1.036500e-04,4.939701e+02
4,2048,10,2.507263e-16,2.842000e-03,1.421000e-04,7.926812e+02
4,4096,10,2.459088e-16,5.801000e-03,2.900500e-04,8.473022e+02
4,8192,10,2.702253e-16,9.699000e-03,4.849500e-04,1.098010e+03
8,1024,10,2.243162e-16,5.677000e-03,2.838500e-04,1.803770e+02
8,2048,10,2.507263e-16,1.583500e-02,7.917500e-04,1.422671e+02
8,4096,10,2.459088e-16,3.151500e-02,1.575750e-03,1.559638e+02
8,8192,10,2.702253e-16,4.813100e-02,2.406550e-03,2.212628e+02
