N,threads,epsilon,iterations,final_diff,wallclock
8,1,0.001,62,0.000909930,0.005615333
8,2,0.001,62,0.000909930,0.006883250
8,4,0.001,62,0.000909930,0.010683750
8,8,0.001,62,0.000909930,0.016887000
16,1,0.001,186,0.000984632,0.012322334
16,2,0.001,186,0.000984632,0.017397625
16,4,0.001,186,0.000984632,0.033916458
16,8,0.001,186,0.000984632,0.060728667
32,1,0.001,505,0.000999718,0.027765500
32,2,0.001,505,0.000999718,0.056256167
32,4,0.001,505,0.000999718,0.096134958
32,8,0.001,505,0.000999718,0.156109750
64,1,0.001,1510,0.000999065,0.098751959
64,2,0.001,1510,0.000999065,0.177055666
64,4,0.001,1510,0.000999065,0.287169250
64,8,0.001,1510,0.000999065,0.459768125
128,1,0.001,4219,0.000999691,0.359271292
128,2,0.001,4219,0.000999691,0.583687292
128,4,0.001,4219,0.000999691,0.861704959
128,8,0.001,4219,0.000999691,1.368234291
256,1,0.001,10181,0.000999811,1.793870125
256,2,0.001,10181,0.000999811,2.064612833
256,4,0.001,10181,0.000999811,2.746368250
256,8,0.001,10181,0.000999811,3.876278667
