matrix_size,kernel,block_x,block_y,repeats,time_ms,bandwidth_gb_s,max_abs_error
512,naive,16,16,20,0.014725,142.423119,0.0
512,naive,32,8,20,0.016506,127.056992,0.0
512,naive,32,16,20,0.017974,116.674376,0.0
512,tiled,16,16,20,0.020194,103.852304,0.0
512,tiled,32,8,20,0.015747,133.176178,0.0
512,tiled,32,16,20,0.016512,127.007745,0.0
1024,naive,16,16,20,0.019611,427.745771,0.0
1024,naive,32,8,20,0.028778,291.497838,0.0
1024,naive,32,16,20,0.028571,293.603633,0.0
1024,tiled,16,16,20,0.021475,390.618395,0.0
1024,tiled,32,8,20,0.022416,374.224137,0.0
1024,tiled,32,16,20,0.024925,336.556685,0.0
2048,naive,16,16,20,0.040904,820.321525,0.0
2048,naive,32,8,20,0.073272,457.943414,0.0
2048,naive,32,16,20,0.081126,413.606819,0.0
2048,tiled,16,16,20,0.045973,729.875725,0.0
2048,tiled,32,8,20,0.054938,610.77352,0.0
2048,tiled,32,16,20,0.053645,625.492738,0.0
